lead_id,annual_revenue,city,clean_status,company,converted,converted_account_id,converted_contact_id,converted_date,converted_opportunity_id,country,created_date,deleted,description,email,email_bounced_date,email_bounced_reason,employees,first_name,last_name,full_name,industry,lead_source,mobile_phone,number_of_locations,phone,product_interest,rating,state,status,street,title,website,zip_code
00Q5h00000E35g9EAB,,,Pending,International Shipping Co.,false,,,,,USA,11/04/2022T02:42:50.000Z,false,,patricia_feager@is.com,,,,Patricia,Feager,Patricia Feager,,Partner Referral,,130,(336) 777-1970,GC5000 series,,NC,Working - Contacted,,CEO,,
00Q5h00000E35gBEAR,,,Pending,Emerson Transport,false,,,,,USA,11/04/2022T02:42:50.000Z,false,,violetm@emersontransport.com,,,,Violet,Maccleod,Violet Maccleod,,Phone Inquiry,,130,(770) 395-2370,GC5000 series,,GA,Working - Contacted,,"VP, Finance",,
00Q5h00000E35gDEAR,,,Pending,Delphi Chemicals,false,,,,,USA,11/04/2022T02:42:50.000Z,false,,tom.james@delphi.chemicals.com,,,,Tom,James,Tom James,,Web,,130,(952) 346-3500,GC5000 series,,MN,Working - Contacted,,"SVP, Production",,
00Q5h00000E35gFEAR,,,Pending,Hendrickson Trading,false,,,,,USA,11/04/2022T02:42:50.000Z,false,,pam_owenby@hendricksontrading.com,,,,Pamela,Owenby,Pamela Owenby,,Partner Referral,,3,(570) 326-1571,GC5000 series,,PA,Closed - Not Converted,,"SVP, Technology",,
00Q5h00000E35gGEAR,,,Pending,Greenwich Media,false,,,,,USA,11/04/2022T02:42:50.000Z,false,,norm_may@greenwich.net,,,,Norm,May,Norm May,,Web,,130,(419) 289-3555,GC5000 series,,OH,Working - Contacted,,"VP, Facilities",,
00Q5h00000E35gHEAR,,,Pending,Pyramid Construction Inc.,false,,,,,France,11/04/2022T02:42:50.000Z,false,,pat@pyramid.net,,,,Pat,Stumuller,Pat Stumuller,,Phone Inquiry,,130,33562156600,GC5000 series,,,Closed - Converted,,"SVP, Administration and Finance",,
00Q5h00000E35gIEAR,,,Pending,Dickenson plc,false,,,,,USA,11/04/2022T02:42:50.000Z,false,,a_young@dickenson.com,,,,Andy,Young,Andy Young,,Purchased List,,130,(620) 241-6200,GC5000 series,,KS,Closed - Converted,,"SVP, Operations",,
00Q5h00000E35gJEAR,,,Pending,Aethna Home Products,false,,,,,USA,11/04/2022T02:42:50.000Z,false,,kakin@athenahome.com,,,,Kristen,Akin,Kristen Akin,,Partner Referral,,130,(434) 369-3100,GC5000 series,,VA,Working - Contacted,,"Director, Warehouse Mgmt",,
00Q5h00000E35gLEAR,,,Pending,Ace Iron and Steel Inc.,false,,,,,USA,11/04/2022T02:42:50.000Z,false,,carolync@aceis.com,,,,Carolyn,Crenshaw,Carolyn Crenshaw,,Phone Inquiry,,130,(251) 679-2200,GC5000 series,,AL,Closed - Not Converted,,"VP, Technology",,
00Q5h00000E35gMEAR,350000000,Burlington,Pending,Burlington Textiles Corp of America,false,,,,,USA,11/04/2022T02:42:50.000Z,false,,jrogers@btca.com,,,9000,Jack,Rogers,Jack Rogers,Apparel,Web,,3,(336) 222-7000,GC5000 series,Warm,NC,Closed - Converted,525 S. Lexington Ave,"VP, Facilities",,27215
00Q5h00000E35gNEAR,,,Pending,Zenith Industrial Partners,false,,,,,USA,11/04/2022T02:42:50.000Z,false,,bill_dadio@zenith.com,,,,Bill,Dadio Jr,Bill Dadio Jr,,Web,,3,(614) 431-5000,GC5000 series,,OH,Closed - Not Converted,,CFO,,
00Q5h00000E35gOEAR,,,Pending,Pacific Retail Group,false,,,,,USA,11/04/2022T02:42:50.000Z,false,,eluce@pacificretail.com,,,,Eugena,Luce,Eugena Luce,,Purchased List,,130,(781) 270-6500,GC5000 series,,MA,Closed - Not Converted,,CEO,,
00Q5h00000E35gPEAR,,,Pending,Highland Manufacturing Ltd.,false,,,,,USA,11/04/2022T02:42:50.000Z,false,,sandra_e@highland.net,,,,Sandra,Eberhard,Sandra Eberhard,,Purchased List,,130,(626) 440-0700,GC5000 series,,CA,Working - Contacted,,"VP, Production",,
00Q5h00000E35gQEAR,,,Pending,American Banking Corp.,false,,,,,USA,11/04/2022T02:42:50.000Z,false,,bblair@abankingco.com,,,,Betty,Bair,Betty Bair,,Purchased List,,130,(610) 265-9100,GC5000 series,,PA,Working - Contacted,,"VP, Administration",,
00Q5h00000IY2AvEAL,5400000,Hunitigton beach,Pending,Pinacle group,true,0015h000017ObSyAAK,0035h00000u0bY1AAI,11/26/2022,0065h00000IrisDAAR,US,11/27/2022T00:45:48.000Z,false,,tommydang@pinacle.com,,,28,Tommy,Dang,Tommy Dang,Apparel,Partner Referral,8272144826,,8272144826,,Cold,California,Closed - Converted,"4720, Hunitigton beach ,CA",Vice President,www.pinaclegrp.com,92095
00Q5h00000IY2DGEA1,12800000,"Portland,",Pending,Scalables,true,0015h000017ObV7AAK,0035h00000u0bZCAAY,11/26/2022,0065h00000IritsAAB,USa,11/27/2022T00:59:39.000Z,false,,heatherc@scalables.com,,,11500,Heather,Chichton,Heather Chichton,Technology,Purchased List,2742144826,,2742144826,,Warm,Oregon,Closed - Converted,"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",Senior Advisor,www.scalables.com,97204
00Q5h00000IY2BAEA1,279000000,La Jollan,Pending,Kert Finances,true,0015h000017ObSxAAK,0035h00000u0bY0AAI,11/26/2022,0065h00000IrisCAAR,US,11/27/2022T00:48:04.000Z,false,,avnic@kertfin.com,,,38000,Avni,Chaubey,Avni Chaubey,Finance,Purchased List,8526944826,,8526944826,,Cold,California,Closed - Converted,"#340, 3603 Miramar Street La Jolla CA",Senior consultant,www.kertfin.com,92049
00Q5h00000E35g5EAB,901000000,Tallahassee,Pending,Farmers Coop. of Florida,true,0015h000017ObK5AAK,0035h00000u0bXGAAY,11/26/2022,0065h00000IrirTAAR,USA,11/04/2022T02:42:50.000Z,false,,bertha@fcof.net,,,,Bertha,Boxer,Bertha Boxer,Agriculture,Web,,130,(850) 644-4200,GC5000 series,Hot,FL,Closed - Converted,321 Westcott Building,Director of Vendor Relations,,32306
00Q5h00000E35g7EAB,,,Pending,Jackson Controls,true,0015h000017ObShAAK,0035h00000u0bXpAAI,11/26/2022,0065h00000Iris6AAB,Taiwan,11/04/2022T02:42:50.000Z,false,,jeffg@jackson.com,,,,Jeff,Glimpse,Jeff Glimpse,,Phone Inquiry,,130,886-2-25474189,GC5000 series,,,Closed - Converted,,"SVP, Procurement",,
00Q5h00000E35g8EAB,,,Pending,Metropolitan Health Services,true,0015h000017ObScAAK,0035h00000u0bXkAAI,11/26/2022,0065h00000Iris1AAB,USA,11/04/2022T02:42:50.000Z,false,,likeb@metro.com,,,,Mike,Braund,Mike Braund,,Purchased List,,130,(410) 381-2334,GC5000 series,,MD,Closed - Converted,,"VP, Technology",,
00Q5h00000E35gAEAR,,,Pending,Cadinal Inc.,true,0015h000017ObUsAAK,0035h00000u0bZ2AAI,11/26/2022,0065h00000IritdAAB,USA,11/04/2022T02:42:50.000Z,false,,brenda@cardinal.net,,,,Brenda,Mcclure,Brenda Mcclure,,Web,,130,(847) 262-5000,GC5000 series,,IL,Closed - Converted,,CFO,,
00Q5h00000E35gCEAR,,,Pending,TNR Corp.,true,0015h000017ObSwAAK,0035h00000u0bXzAAI,11/26/2022,0065h00000IrisBAAR,USA,11/04/2022T02:42:50.000Z,false,,ksynder@tnr.net,,,,Kathy,Snyder,Kathy Snyder,,Purchased List,,130,(860) 273-0123,GC5000 series,,CT,Closed - Converted,,Regional General Manager,,
00Q5h00000E35gEEAR,,,Pending,Western Telecommunications Corp.,true,0015h000017ObVCAA0,0035h00000u0bZMAAY,11/26/2022,0065h00000Iriu2AAB,USA,11/04/2022T02:42:50.000Z,false,,shellyb@westerntelecom.com,,,,Shelly,Brownell,Shelly Brownell,,Partner Referral,,130,(408) 326-9000,GC5000 series,,CA,Closed - Converted,,"SVP, Technology",,
00Q5h00000E35gKEAR,,,Pending,Blues Entertainment Corp.,true,0015h000017ObUtAAK,0035h00000u0bZ3AAI,11/26/2022,0065h00000IriteAAB,Japan,11/04/2022T02:42:50.000Z,false,,david@blues.com,,,,David,Monaco,David Monaco,,Purchased List,,130,(033) 452-1299,GC5000 series,,,Closed - Converted,,CFO,,
00Q5h00000IY294EAD,,London,Pending,DS Smith,true,0015h000017ObUnAAK,0035h00000u0bYxAAI,11/26/2022,0065h00000IritYAAR,UK,11/27/2022T00:34:48.000Z,false,,barryd@dssmith.com,,,12000,Barry,Drek,Barry Drek,Apparel,Partner Referral,858) 212-9187,,858) 212-9187,,Hot,,Closed - Converted,"370, Endina street,London ,UK
London, London
UK",Sr. Lead,www.dssmith.com,
